职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期,详细介绍
人工智能研发工程师,1.5-2.5万/月,广州-白云区,广州满翼贸易有限公司,民营公司,500-1000人,贸易/进出口,07-23,
WEB工程师(人工智能）,1-1.5万/月,上海-徐汇区,上海旷通科技有限公司,民营公司,50-150人,通信/电信/网络设备,07-23,
店小蜜训练师（人工智能训练师）,1-1.5万/月,上海-虹口区,宁波猫头鹰母婴用品有限公司,合资,50-150人,快速消费品(食品、饮料、化妆品),07-23,
开发支持工程师（人工智能部）,0.7-1.4万/月,青岛-即墨区,青岛本原微电子有限公司,民营公司,50-150人,电子技术/半导体/集成电路,07-23,
人工智能研发工程师,20-30万/年,南京-鼓楼区,江苏电力信息技术有限公司,国企,150-500人,计算机软件,07-23,
人工智能产品研发高级软件工程师,1.5-2万/月,上海-黄浦区,硕能（上海）自动化科技有限公司,民营公司,少于50人,电气/电力/水利,07-23,
AI人工智能算法工程师,1.5-2.5万/月,东莞,东莞市找大状互联网技术有限公司,民营公司,,计算机软件,07-23,
IT人力资源总监(人工智能）,1-1.5万/月,广州-黄埔区,广东协合生物医药有限公司,民营公司,50-150人,制药/生物工程,07-23,
少儿编程老师（人工智能创造力教育机构）,0.5-1万/月,广州-天河区,广州英荔教育科技有限公司,民营公司,50-150人,教育/培训/院校,07-23,
人工智能研究院-技术研发,1-1.5万/月,北京-朝阳区,北京世纪互联软件开发有限公司,民营公司,50-150人,计算机软件,07-23,
人工智能-算法工程师,0.8-1万/月,杭州,杭州芯声智能科技有限公司,民营公司,,电子技术/半导体/集成电路,07-23,
人工智能产业项目招商经理,6-9千/月,广州-南沙区,广州南沙投资咨询有限公司,国企,150-500人,专业服务(咨询、人力资源、财会),07-23,
人工智能应用专任教师,0.8-2万/月,重庆-永川区,重庆智能工程职业学院,非营利组织,1000-5000人,教育/培训/院校,07-23,
销售工程师（人工智能）,0.8-1.5万/月,北京-朝阳区,瑞泰新时代（北京）科技有限公司,民营公司,50-150人,电子技术/半导体/集成电路,07-23,
产品经理（人工智能方向）,1-1.5万/月,广州-越秀区,广州安莱信息通信技术有限公司,合资,150-500人,通信/电信/网络设备,07-23,
人工智能 图像处理工程师 可实习,0.5-1万/月,青岛-市南区,青岛嘉淼网络科技有限公司,民营公司,,通信/电信/网络设备,07-23,
人工智能技术讲师,1-1.8万/月,济南,上海外服（山东）人力资源服务有限公司潍坊分公司,国企,50-150人,专业服务(咨询、人力资源、财会),07-23,
人工智能测试助理（双休）,6-8千/月,深圳-南山区,北京博海佳瑞科技有限公司,民营公司,50-150人,计算机软件,07-23,
计算机应用技术（人工智能）专业教师,7-8千/月,上海,上海中侨职业技术大学,非营利组织,150-500人,教育/培训/院校,07-23,
人工智能图像算法工程师,2.5-3万/月,上海-嘉定区,上海昕健医疗技术有限公司,民营公司,50-150人,医疗设备/器械,07-23,
人工智能算法工程师,1.5-3万/月,深圳-宝安区,深圳市超准视觉科技有限公司,民营公司,少于50人,电子技术/半导体/集成电路,07-23,
人工智能数据产品体验,3-4万/月,上海-嘉定区,NIO蔚来,上市公司,10000人以上,汽车,07-23,
软件工程师（人工智能）,1-2万/月,无锡-锡山区,连城凯克斯科技有限公司,民营公司,150-500人,机械/设备/重工,07-23,
人工智能算法工程师,2.5-4万/月,深圳-南山区,深圳市资福医疗技术有限公司,民营公司,50-150人,医疗设备/器械,07-23,
人工智能工程师,10-15万/年,哈尔滨-道外区,哈尔滨跃渊环保智能装备有限责任公司,民营公司,少于50人,仪器仪表/工业自动化,07-23,
销售经理-人工智能产品,0.8-1.3万/月,上海-松江区,上海宽泛科技有限公司,民营公司,50-150人,计算机硬件,07-23,
人工智能研发工程师/主管,1-2万/月,深圳-宝安区,深圳市智天物联科技有限公司,民营公司,150-500人,通信/电信/网络设备,07-23,
人工智能开发工程师,1.5-2万/月,广州-黄埔区,日立楼宇技术(广州)有限公司,合资,500-1000人,电子技术/半导体/集成电路,07-23,
人工智能工程师,1.5-2.5万/月,杭州-余杭区,杭州瑞普基因科技有限公司,民营公司,150-500人,医疗设备/器械,07-23,
工业人工智能解决方案工程师,25-45万/年,北京,台达电子企业管理（上海）有限公司,外资（非欧美）,500-1000人,电子技术/半导体/集成电路,07-23,
數據標註師 -人工智能/機器學習 (廣東話),,上海,苹果贸易(上海)有限公司,外资（欧美）,500-1000人,批发/零售,07-23,
本地生活-高级人工智能训练师-商运,,杭州,阿里巴巴集团,上市公司,10000人以上,互联网/电子商务,07-23,
Data & AI Expert 数据&人工智能专家,3-4万/月,上海-闵行区,罗氏诊断产品（上海）有限公司,外资（欧美）,1000-5000人,医疗设备/器械,07-23,
人工智能（AI）算法工程师,1-1.5万/月,佛山,广东工科机电有限公司,民营公司,50-150人,机械/设备/重工,07-23,
外企电销代表(互联网软件/云计算/大数据/人工智能）,0.8-1.3万/月,苏州-工业园区,智慧芽信息科技（苏州）有限公司,外资（非欧美）,500-1000人,计算机软件,07-23,
人工智能数据处理工程师（外包）,1.5-2万/月,深圳-南山区,信必优(深圳)信息技术有限公司,外资（欧美）,1000-5000人,计算机软件,07-23,
人工智能训练师,0.8-1万/月,广州-天河区,杭州语忆科技有限公司,民营公司,50-150人,计算机软件,07-23,
人工智能算法工程师,1.5-3万/月,深圳-南山区,深圳华侨城文化旅游科技集团有限公司,国企,500-1000人,房地产,07-23,
人工智能工程师,0.8-1.6万/月,常州,卓谨信息科技（常州）有限公司,民营公司,少于50人,计算机软件,07-23,
大客户销销售（储备主管方向）小程序+人工智能,0.8-1万/月,佛山,广州市趋势信息技术有限公司（趋势动力）,民营公司,150-500人,互联网/电子商务,07-23,
（高级）AI人工智能平台工程师（Python）,2-3万/月,上海-浦东新区,北京中星微电子有限公司,外资（欧美）,500-1000人,通信/电信/网络设备,07-23,
人工智能与云计算领域销售经理,0.8-1.6万/月,南京-江宁区,南京中科逆熵科技有限公司,合资,少于50人,计算机软件,07-23,
人工智能软件开发工程师,1-1.5万/月,苏州-工业园区,上海嘉应生物科技有限公司,民营公司,少于50人,制药/生物工程,07-23,
销售经理-人工智能（急聘）,1-2万/月,上海-闵行区,上海蒙帕信息技术有限公司,民营公司,150-500人,计算机服务(系统、数据服务、维修),07-23,
投资总监（人工智能）,35-40万/年,南京-建邺区,南京市创新投资集团有限责任公司,国企,50-150人,金融/投资/证券,07-23,
人工智能开发工程师,6-8千/月,上海-静安区,上海数久信息科技有限公司,民营公司,少于50人,计算机软件,07-23,
AI人工智能开发工程师（Java),1-1.5万/月,武汉-洪山区,北京联动北方科技有限公司,民营公司,,计算机软件,07-23,
人工智能算法工程师,1.5-2万/月,上海-浦东新区,上海透景生命科技股份有限公司,上市公司,500-1000人,医疗设备/器械,07-23,
AI人工智能实习生-可接受无经验,0.8-1万/月,杭州-余杭区,杭州多测师软件技术有限公司,民营公司,少于50人,计算机软件,07-23,
人工智能工程师,1.5-2.5万/月,苏州,江苏康众数字医疗科技股份有限公司,合资,50-150人,医疗设备/器械,07-23,
AI人工智能实习生-可接受无经验,0.8-1万/月,杭州-余杭区,杭州多测师软件技术有限公司,民营公司,少于50人,计算机软件,07-23,
人工智能工程师,1.5-2.5万/月,苏州,江苏康众数字医疗科技股份有限公司,合资,50-150人,医疗设备/器械,07-23,
人工智能产业招商经理,4-8千/月,广州-南沙区,广州国际人工智能产业研究院有限公司,民营公司,少于50人,中介服务,07-23,
人工智能资深算法工程师（图像、视频方向）,3-4万/月,上海-浦东新区,中星电子股份有限公司,合资,150-500人,电子技术/半导体/集成电路,07-23,
人工智能工程师,2-2.5万/月,上海-杨浦区,江苏达海智能系统股份有限公司,上市公司,150-500人,建筑/建材/工程,07-23,
Java开发工程师（人工智能）,1.2-2万/月,武汉-硚口区,湖北普罗劳格科技股份有限公司,民营公司,500-1000人,交通/运输/物流,07-23,
医学图像人工智能,2-4万/月,深圳-宝安区,卡本（深圳）医疗器械有限公司,民营公司,少于50人,医疗设备/器械,07-23,
人工智能算法工程师,1.5-2万/月,成都-双流区,上海交通大学四川研究院,事业单位,50-150人,学术/科研,07-23,
嵌入式人工智能工程师,2-3.5万/月,南京-栖霞区,南京美基森信息技术有限公司,民营公司,少于50人,计算机软件,07-23,
算法及人工智能开发工程师,0.9-1.4万/月,北京-朝阳区,民航电信开发有限责任公司,国企,150-500人,通信/电信运营、增值服务,07-23,
猎头顾问(人工智能/AI/IT互联网方向）,0.8-1万/月,成都,成都海猎网络科技有限公司,民营公司,少于50人,专业服务(咨询、人力资源、财会),07-23,
销售-工业人工智能,15-20万/年,上海-浦东新区,恒意得机器视觉,民营公司,50-150人,仪器仪表/工业自动化,07-23,
人工智能工程师(算法）,0.6-1.6万/月,南京-建邺区,南京泓图人工智能技术研究院有限公司,民营公司,少于50人,计算机软件,07-23,
人工智能产品经理,2-3万/月,北京,字节跳动,民营公司,10000人以上,互联网/电子商务,07-23,
人工智能家居检测助理/薪资高,6-8千/月,深圳-龙岗区,深圳市融客巴士网络科技有限公司,民营公司,50-150人,计算机软件,07-22,
