职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期,详细介绍
初级数据分析师-电商直播,0.8-1.1万/月,上海-静安区,欧莱雅（中国）有限公司,外资（欧美）,1000-5000人,快速消费品(食品、饮料、化妆品),07-23,
数据分析师,1.5-2万/月,杭州-西湖区,浙江教育用品发展有限公司,国企,50-150人,计算机服务(系统、数据服务、维修),07-23,
数据分析师   (MJ000816),1.2-1.8万/月,深圳-龙岗区,开思时代科技（深圳）有限公司,民营公司,1000-5000人,互联网/电子商务,07-23,
数据分析师,0.8-1.2万/月,上海-长宁区,上海牛约堡餐饮管理有限公司,民营公司,50-150人,餐饮业,07-23,
数据分析师(J13004),1.5-2.5万/月,天津,微医控股（浙江）有限公司,合资,1000-5000人,互联网/电子商务,07-23,
数据分析师,1-1.5万/月,深圳-南山区,深圳市丰巢网络技术有限公司,合资,1000-5000人,互联网/电子商务,07-23,
数据分析师,1.2-1.8万/月,上海,东软熙康健康科技有限公司,民营公司,1000-5000人,互联网/电子商务,07-23,
数据分析师（6k+提成+双休）,1-1.5万/月,广州-越秀区,广东新时代投资股份有限公司,民营公司,50-150人,金融/投资/证券,07-23,
数据分析师,1-1.5万/月,上海-浦东新区,上海韦晴软件科技有限公司,民营公司,50-150人,计算机软件,07-23,
BI数据分析师,1.5-2万/月,杭州,英赋嘉(浙江)供应链科技有限公司,民营公司,150-500人,交通/运输/物流,07-23,
数据分析师,1.2-1.8万/月,上海-普陀区,欧麦红（上海）建材科技有限公司,民营公司,50-150人,建筑/建材/工程,07-23,
数据分析师,0.8-1万/月,上海-松江区,留夫鸭,民营公司,500-1000人,快速消费品(食品、饮料、化妆品),07-23,
高级数据分析师,2-2.5万/月,宁波-鄞州区,浙江姬存希化妆品有限公司,民营公司,150-500人,快速消费品(食品、饮料、化妆品),07-23,
数据分析师,1.1-1.5万/月,佛山,广东金赋科技股份有限公司,民营公司,150-500人,计算机软件,07-23,
数据分析师,6-8千/月,绍兴-越城区,绍兴市咭味哆餐饮管理有限公司,民营公司,500-1000人,餐饮业,07-23,
数据分析师,1-1.5万/月,上海-青浦区,上海银科创展投资集团有限公司,上市公司,1000-5000人,金融/投资/证券,07-23,
数据分析师,0.9-1.3万/月,上海-松江区,特殊陶业实业（上海）有限公司,外资（非欧美）,150-500人,汽车,07-23,
电商数据分析师（行业分析）,0.8-1.3万/月,广州-天河区,维达纸业（中国）有限公司,外资（非欧美）,5000-10000人,快速消费品(食品、饮料、化妆品),07-23,
数据分析师,1.5-2.5万/月,南京-浦口区,益客集团,民营公司,10000人以上,农/林/牧/渔,07-23,
数据分析师,0.8-1万/月,北京-朝阳区,北京晶众智慧交通科技股份有限公司,民营公司,150-500人,计算机服务(系统、数据服务、维修),07-23,
数据分析师,1-1.5万/月,上海-黄浦区,浙江尚观信息科技有限公司,民营公司,50-150人,互联网/电子商务,07-23,
数据分析师,6-8千/月,南通,江苏牛赛网供应链管理有限公司,民营公司,50-150人,服装/纺织/皮革,07-23,
