职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期,详细介绍
质量管理/测试工程师,3-4.5千/月,杭州,松下家电（中国）有限公司,外资（欧美）,,家具/家电/玩具/礼品,07-22,
软件测试工程师（顺丰）,1-1.2万/月,深圳-南山区,武汉佰钧成技术有限责任公司,民营公司,10000人以上,计算机软件,07-22,
软件测试工程师,6-8千/月,南京-雨花台区,南京都昌信息科技有限公司,民营公司,少于50人,计算机软件,07-22,
耳机测试工程师(9-10K),0.8-1万/月,深圳-南山区,深圳市领深人才信息技术有限公司,民营公司,少于50人,互联网/电子商务,07-22,
软件测试工程师,0.6-1.5万/月,东莞,广东数夫软件有限公司,合资,150-500人,计算机软件,07-22,
软件测试工程师,5-8千/月,南京-雨花台区,南京百珏科技有限公司,民营公司,50-150人,计算机软件,07-22,
测试工程师（显卡、主板）,5-8千/月,深圳-龙岗区,好利好科技（深圳）有限公司,民营公司,500-1000人,计算机硬件,07-22,
测试工程师/电源测试工程师,0.8-1.2万/月,常州-武进区,奇普电源（常州）有限公司,民营公司,150-500人,电子技术/半导体/集成电路,07-22,
软件测试工程师,1.3-2.2万/月,深圳-南山区,上海华腾软件系统有限公司,上市公司,500-1000人,计算机软件,07-22,
电力电子硬件测试工程师,0.6-1万/月,上海-闵行区,浙江恩沃新能源科技有限公司,民营公司,50-150人,电子技术/半导体/集成电路,07-22,
软硬件测试工程师（地点：深圳）,6-8千/月,深圳-南山区,北京巴视科技有限责任公司,民营公司,少于50人,电子技术/半导体/集成电路,07-22,
助理测试工程师,0.8-1.4万/月,上海-宝山区,英飞腾（中国）有限公司,外资（欧美）,,计算机软件,07-22,
电池测试工程师,0.9-1.2万/月,上海-奉贤区,上海德朗能新能源有限公司,民营公司,150-500人,新能源,07-22,
软件测试工程师,3-4.5千/月,大连-高新园区,大连连邦信息技术有限公司,民营公司,少于50人,计算机软件,07-22,
软件测试工程师,3-6千/月,惠州,广东谷通科技有限公司,民营公司,500-1000人,互联网/电子商务,07-22,
软件测试工程师,0.7-1.3万/月,广州-南沙区,广州番禺巨大汽车音响设备有限公司,合资,1000-5000人,电子技术/半导体/集成电路,07-22,
测试工程师,6-8千/月,东莞-东城区,东莞市合景实业发展有限公司,民营公司,150-500人,建筑/建材/工程,07-22,
电吹风认证测试工程师,0.8-1.2万/月,广州-白云区,广州市菲力克斯电器有限公司,民营公司,150-500人,家具/家电/玩具/礼品,07-22,
高级测试工程师,1.5-2万/月,深圳-南山区,深圳静云科技有限公司,民营公司,,计算机软件,07-22,
软件测试工程师 五险一金双休,4-6千/月,长春,吉林省瀚信恒辉工程有限公司,合资,,建筑/建材/工程,07-22,
软件测试工程师,5-8千/月,上海-浦东新区,爱乔（上海）医疗科技有限公司,民营公司,50-150人,医疗设备/器械,07-22,
002测试工程师,6-7.9千/月,杭州,杭州美璟家居有限公司,民营公司,,互联网/电子商务,07-22,
渗透测试工程师（北京）,1.5-2万/月,北京,北京英格玛人力资源管理有限公司,民营公司,,专业服务(咨询、人力资源、财会),07-22,
软件测试工程师,1-1.5万/月,北京,北京轩宇信息技术有限公司,国企,,计算机软件,07-22,
测试工程师-硬件,4.5-6千/月,广州,雷拓（广东）科技有限公司,民营公司,,电子技术/半导体/集成电路,07-22,
软件测试工程师,6-8千/月,沈阳,沈阳蓝软智能医疗科技有限公司,民营公司,,医疗设备/器械,07-22,
测试工程师,4-8千/月,合肥,合肥沛睿微电子股份有限公司,民营公司,,电子技术/半导体/集成电路,07-22,
测试工程师,6-8千/月,合肥,华霆（合肥）动力技术有限公司,民营公司,,汽车零配件,07-22,
