职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期,详细介绍
网页设计师（web前端与开发）,,上海-浦东新区,“前程无忧”51job.com（上海）,外资（非欧美）,1000-5000人,互联网/电子商务,07-22,
网页设计师,0.6-1万/月,武汉,前锦网络信息技术（上海）有限公司,外资（非欧美）,,专业服务(咨询、人力资源、财会),07-22,
资深网页设计师/组长,1.1-1.8万/月,深圳-南山区,深圳斯达领科网络科技有限公司,民营公司,1000-5000人,互联网/电子商务,07-22,
企业建站/网页设计师,6-9千/月,广州-荔湾区,广州市无限可能云计算有限公司,民营公司,少于50人,互联网/电子商务,07-22,
网页设计师,0.8-1万/月,上海-闵行区,澳煦广告传媒（上海）有限公司,民营公司,50-150人,计算机软件,07-22,
网页设计师（静安区）,1-1.2万/月,上海,上海古星电子商务有限公司,外资（非欧美）,500-1000人,互联网/电子商务,07-22,
高级网页设计师,1.5-2万/月,成都-高新区,成都德艺软件有限公司,民营公司,50-150人,计算机软件,07-22,
资深网页设计师,0.9-1.3万/月,上海-青浦区,上海纪尚实业有限公司,民营公司,150-500人,机械/设备/重工,07-22,
网页设计师,5-7千/月,江门,江门市优联科技有限公司,民营公司,少于50人,计算机软件,07-22,
资深网页设计师,0.8-1万/月,广州-天河区,广州市纵天信息科技有限公司,民营公司,50-150人,互联网/电子商务,07-22,
网页设计师,0.7-1万/月,上海-普陀区,上海昌仁实业有限公司,民营公司,50-150人,家具/家电/玩具/礼品,07-22,
网页设计师+双休,3-6千/月,泰州,江苏零度信息科技有限责任公司,民营公司,50-150人,互联网/电子商务,07-22,
web网页设计师(五险一金+提成+带薪年假+奖金),6-8千/月,苏州,中企动力科技股份有限公司苏州分公司,上市公司,5000-10000人,计算机软件,07-22,
网页设计师,0.8-1.2万/月,上海-宝山区,上海匠臻广告有限公司,民营公司,少于50人,互联网/电子商务,07-22,
网页设计师/网页美工/淘宝美工,4.5-8千/月,广州-番禺区,广州市蓝格软件科技有限公司,民营公司,少于50人,计算机软件,07-22,
资深网页设计师,1-1.2万/月,上海-徐汇区,上海普瑾特信息技术服务股份有限公司,外资（非欧美）,500-1000人,通信/电信运营、增值服务,07-22,
网页设计师,0.6-1万/月,东莞-南城区,广东米可信息技术有限公司,民营公司,50-150人,互联网/电子商务,07-22,
